Longitude,Latitude,Speed,Acceleration,ActionVehicleAhead,ActionId,action_accelerate,action_decelerate,action_stop,ActionParam,ActionDuration,StartTime,EndTime,y_fuel,y_travel
1.4680821229829872,43.564284437843895,3.3636487884472595,-3.128889811908025,3,3,0,0,1,0.0,9,22,31,-22.474561882642565,-30.0
1.4689779136838754,43.56484898202999,3.829770103511659,-3.2462418434962834,2,2,0,1,0,11.11651831130238,6,31,37,18.31480322374095,-28.0
1.4689032757183818,43.56577512284451,13.75241483040846,0.8707570362092554,1,1,1,0,0,6.615878951624138,20,68,88,-97.7297362848664,-7.0
1.4694748978062886,43.56529155083915,16.024355747908356,2.0026184839662164,2,1,1,0,0,3.3267427081497014,7,40,47,-21.393425642342308,-8.0
1.4687915291260518,43.56588644856394,18.170997882666068,3.477446506731212,0,3,0,0,1,0.0,12,42,54,1.4084718554242572,-11.0
1.4681317863986518,43.56658032190466,7.643303372452365,-1.6845820183284026,0,1,1,0,0,9.000170313139371,19,47,66,-43.46336388735182,16.0
1.469164652767848,43.564959874524966,6.03457796000126,1.5409255832800186,1,1,1,0,0,3.420149387589442,14,46,60,-112.91176865030991,-33.0
1.468984995402285,43.565695316124994,14.693551375934856,0.7663343334570527,1,2,0,1,0,10.309152815661282,12,39,51,21.651488361190918,-1.0
1.4685487347404451,43.56463626041234,7.478752765866636,-1.6327133336736832,3,3,0,0,1,0.0,20,20,40,-3.2252596090944134,-29.0
1.4689474243885905,43.56573200767833,13.883408520772534,-3.603095353317848,1,3,0,0,1,0.0,9,46,55,-11.478856756494176,-16.0
1.4691935298399794,43.565491661994834,14.701618756695671,1.484735724855966,2,2,0,1,0,6.1300789180796205,20,61,81,0.5007172053557005,-30.0
